날짜,외기온도,외기습도
21. 6. 3 오후 1:30,17.80,100.00
21. 6. 3 오후 1:45,18.00,99.90
21. 6. 3 오후 2:00,17.90,100.00
21. 6. 3 오후 2:15,17.80,99.90
21. 6. 3 오후 2:30,17.40,99.90
21. 6. 3 오후 2:45,17.60,99.90
21. 6. 3 오후 3:00,18.00,100.00
21. 6. 3 오후 3:15,17.90,99.90
21. 6. 3 오후 3:30,17.90,99.90
21. 6. 3 오후 3:45,17.80,100.00
21. 6. 3 오후 4:00,17.60,100.00
21. 6. 3 오후 4:15,17.10,100.00
21. 6. 3 오후 4:30,17.00,100.00
21. 6. 3 오후 4:45,17.20,100.00
21. 6. 3 오후 5:00,17.20,100.00
21. 6. 3 오후 5:15,17.20,100.00
21. 6. 3 오후 5:30,17.30,100.00
21. 6. 3 오후 5:45,17.40,100.00
21. 6. 3 오후 6:00,17.50,99.90
21. 6. 3 오후 6:15,17.60,99.90
21. 6. 3 오후 6:30,17.60,99.90
21. 6. 3 오후 6:45,17.60,99.90
21. 6. 3 오후 7:00,17.60,99.90
21. 6. 3 오후 7:15,17.40,99.90
21. 6. 3 오후 7:30,17.40,99.90
21. 6. 3 오후 7:45,17.30,100.00
21. 6. 3 오후 8:00,17.30,100.00
21. 6. 3 오후 8:15,17.30,100.00
21. 6. 3 오후 8:30,,100.00
21. 6. 3 오후 8:45,15.40,100.00
21. 6. 3 오후 9:00,15.40,100.00
21. 6. 3 오후 9:15,14.10,100.00
21. 6. 3 오후 9:30,14.20,100.00
21. 6. 3 오후 9:45,14.40,100.00
21. 6. 3 오후 10:00,14.50,100.00
21. 6. 3 오후 10:15,14.50,100.00
21. 6. 3 오후 10:30,14.50,100.00
21. 6. 3 오후 10:45,14.30,100.00
21. 6. 3 오후 11:00,14.00,100.00
21. 6. 3 오후 11:15,14.10,100.00
21. 6. 3 오후 11:30,14.20,100.00
21. 6. 3 오후 11:45,14.30,100.00
21. 6. 4 오전 12:00,14.30,100.00
21. 6. 4 오전 12:15,14.50,100.00
21. 6. 4 오전 12:30,14.50,100.00
21. 6. 4 오전 12:45,14.70,100.00
21. 6. 4 오전 1:00,14.50,100.00
21. 6. 4 오전 1:15,14.40,100.00
21. 6. 4 오전 1:30,14.40,100.00
21. 6. 4 오전 1:45,14.30,100.00
21. 6. 4 오전 2:00,14.30,100.00
21. 6. 4 오전 2:15,14.30,100.00
21. 6. 4 오전 2:30,14.40,100.00
21. 6. 4 오전 2:45,14.30,100.00
21. 6. 4 오전 3:00,14.30,100.00
21. 6. 4 오전 3:15,14.30,100.00
21. 6. 4 오전 3:30,,100.00
21. 6. 4 오전 3:45,14.40,100.00
21. 6. 4 오전 4:00,14.30,100.00
21. 6. 4 오전 4:15,14.30,100.00
21. 6. 4 오전 4:30,14.20,100.00
21. 6. 4 오전 4:45,14.10,100.00
21. 6. 4 오전 5:00,14.00,100.00
21. 6. 4 오전 5:15,13.90,100.00
21. 6. 4 오전 5:30,13.80,100.00
21. 6. 4 오전 5:45,13.70,100.00
21. 6. 4 오전 6:00,13.80,100.00
21. 6. 4 오전 6:15,13.90,100.00
21. 6. 4 오전 6:30,14.10,100.00
21. 6. 4 오전 6:45,14.10,100.00
21. 6. 4 오전 7:00,14.20,100.00
21. 6. 4 오전 7:15,14.10,100.00
21. 6. 4 오전 7:30,14.20,100.00
21. 6. 4 오전 7:45,13.90,100.00
21. 6. 4 오전 8:00,13.70,100.00
